No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout (V)
1.000000	750.000000	33.590000	-0.000000	5.958261	0.012912	0.000260	7.711295	0.108961
2.000000	750.000000	30.918000	-0.000000	5.964788	0.016540	0.000398	5.457460	0.108947
3.000000	750.000000	28.647000	-0.000000	5.954734	0.012952	0.000501	5.989586	0.108958
4.000000	750.000000	26.717000	-0.000000	5.956181	0.012073	0.000671	6.159600	0.108962
5.000000	750.000000	25.076000	-0.000000	5.956698	0.020155	0.000891	5.310391	0.108956
6.000000	750.000000	23.679000	-0.000000	5.950144	0.016996	0.001182	6.585092	0.108956
7.000000	750.000000	22.491000	-0.000000	5.959324	0.012274	0.001366	2.324938	0.108955
8.000000	750.000000	21.478000	-0.000000	5.972714	0.012892	0.001635	-7.357800	0.108968
9.000000	750.000000	20.613000	-0.000000	5.938331	0.012222	0.001809	6.044619	0.108945
10.000000	750.000000	19.874000	-0.000000	5.908754	0.014156	0.001854	8.948570	0.108962
11.000000	750.000000	19.241000	-0.000000	5.865165	0.014273	0.001860	7.525604	0.108970
12.000000	750.000000	18.697000	-0.000000	5.782706	0.016711	0.001748	13.628789	0.108989
13.000000	750.000000	18.226000	-0.000000	5.681630	0.014700	0.001472	15.618907	0.109002
14.000000	750.000000	17.818000	-0.000000	5.563320	0.014383	0.001056	7.943527	0.109008
15.000000	750.000000	17.460000	-0.000000	5.422563	0.013314	0.000740	4.694215	0.108998
16.000000	750.000000	17.143000	-0.000000	5.236842	0.014357	0.000238	30.681406	0.109009
17.000000	750.000000	16.858000	-0.000000	5.086986	0.012365	0.000188	161.650202	0.108990
18.000000	750.000000	16.599000	-0.000000	4.902376	0.013486	0.000598	-3.265534	0.108985
19.000000	750.000000	16.357000	-0.000000	4.718547	0.012553	0.001066	2.780992	0.108987
20.000000	750.000000	16.127000	-0.000000	4.514457	0.013025	0.001499	-167.359259	0.108962
21.000000	750.000000	15.903000	-0.000000	4.310337	0.012767	0.001976	-169.854400	0.108967
22.000000	750.000000	15.678000	-0.000000	4.096891	0.011661	0.002436	-175.652031	0.108960
23.000000	750.000000	15.446000	-0.000000	3.861352	0.013935	0.002989	0.902234	0.108978
24.000000	750.000000	15.201000	-0.000000	3.596770	0.009832	0.003529	-0.814629	0.108971
25.000000	750.000000	14.937000	-0.000000	3.277876	0.010709	0.004082	-170.481754	0.109003
26.000000	750.000000	14.647000	-0.000000	2.923614	0.010106	0.004796	-169.120440	0.109016
27.000000	750.000000	14.322000	-0.000000	2.521295	0.009213	0.005493	-165.273097	0.109005
28.000000	750.000000	13.955000	-0.000000	2.047927	0.009199	0.006011	-168.436674	0.108966
29.000000	750.000000	13.534000	-0.000000	1.475526	0.008288	0.006012	-168.101474	0.109017
30.000000	750.000000	13.050000	-0.000000	NaN	NaN	0.000000	-176.493259	0.108980
