No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout (V)
1.000000	300.000000	25.904000	-0.000000	5.991632	0.016136	0.000228	1.543684	0.109001
2.000000	300.000000	24.215000	-0.000000	5.984955	0.015191	0.000347	10.315047	0.109006
3.000000	300.000000	22.778000	-0.000000	5.985226	0.016376	0.000348	5.490251	0.109025
4.000000	300.000000	21.558000	-0.000000	5.972450	0.012356	0.000442	-0.331370	0.108978
5.000000	300.000000	20.520000	-0.000000	5.981039	0.012416	0.000518	0.686468	0.108975
6.000000	300.000000	19.637000	-0.000000	5.973903	0.013598	0.000537	4.579379	0.108981
7.000000	300.000000	18.885000	-0.000000	5.974309	0.015755	0.000541	9.029081	0.109003
8.000000	300.000000	18.244000	-0.000000	5.961576	0.015336	0.000679	5.256728	0.109028
9.000000	300.000000	17.697000	-0.000000	5.963367	0.015121	0.000694	8.466449	0.108992
10.000000	300.000000	17.230000	-0.000000	5.965599	0.014253	0.000700	5.034564	0.108994
11.000000	300.000000	16.830000	-0.000000	5.927611	0.012293	0.000616	11.099538	0.109009
12.000000	300.000000	16.485000	-0.000000	5.876665	0.013188	0.000607	12.076327	0.108991
13.000000	300.000000	16.188000	-0.000000	5.819395	0.012942	0.000511	5.549665	0.108978
14.000000	300.000000	15.929000	-0.000000	5.755139	0.012531	0.000350	4.512906	0.109004
15.000000	300.000000	15.703000	-0.000000	5.637290	0.010989	0.000145	30.783800	0.108971
16.000000	300.000000	15.502000	-0.000000	5.544496	0.012533	0.000126	150.881396	0.108976
17.000000	300.000000	15.322000	-0.000000	5.419187	0.012649	0.000180	-5.378829	0.108978
18.000000	300.000000	15.157000	-0.000000	5.283308	0.013884	0.000449	165.933352	0.108976
19.000000	300.000000	15.006000	-0.000000	5.158610	0.011723	0.000606	171.849345	0.108985
20.000000	300.000000	14.860000	-0.000000	5.011831	0.012397	0.000844	174.004319	0.109003
21.000000	300.000000	14.718000	-0.000000	4.841393	0.014328	0.001035	178.226650	0.108999
22.000000	300.000000	14.576000	-0.000000	4.656730	0.012466	0.001294	-177.528229	0.108998
23.000000	300.000000	14.429000	-0.000000	4.458048	0.014985	0.001468	-176.675236	0.108998
24.000000	300.000000	14.275000	-0.000000	4.240033	0.011919	0.001789	-177.461547	0.108970
25.000000	300.000000	14.108000	-0.000000	3.976590	0.012456	0.002023	-176.961414	0.108962
26.000000	300.000000	13.924000	-0.000000	3.662219	0.011684	0.002298	-175.061066	0.108958
27.000000	300.000000	13.719000	-0.000000	3.302046	0.009814	0.002559	-174.683336	0.108956
28.000000	300.000000	13.486000	-0.000000	2.850535	0.009270	0.002652	-170.265839	0.108947
29.000000	300.000000	13.220000	-0.000000	2.323499	0.008553	0.002594	-169.675511	0.108926
30.000000	300.000000	12.914000	-0.000000	1.679986	0.009124	0.002233	-173.090410	0.108939
