No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout (V)
1.000000	200.000000	13.289000	-0.000000	3.280307	0.012597	0.003747	9.003219	0.108975
2.000000	250.000000	13.320000	-0.000000	2.881070	0.010155	0.002920	98.926353	0.108972
3.000000	300.000000	13.351000	-0.000000	2.584472	0.008731	0.002702	-171.791190	0.108973
4.000000	350.000000	13.384000	-0.000000	2.382793	0.009341	0.002721	-86.588255	0.108968
5.000000	400.000000	13.414000	-0.000000	2.232396	0.008180	0.002974	-6.595964	0.108965
6.000000	450.000000	13.446000	-0.000000	2.093977	0.008028	0.003373	76.041285	0.108959
7.000000	500.000000	13.477000	-0.000000	1.981940	0.008803	0.003924	155.594134	0.108948
8.000000	550.000000	13.510000	-0.000000	1.841400	0.007884	0.004505	-125.557146	0.108953
9.000000	600.000000	13.541000	-0.000000	1.743819	0.008194	0.004994	-46.739034	0.108962
10.000000	650.000000	13.572000	-0.000000	1.671504	0.008364	0.005538	39.874405	0.108978
11.000000	700.000000	13.603000	-0.000000	1.622767	0.008658	0.005926	118.021827	0.108976
12.000000	750.000000	13.635000	-0.000000	1.592483	0.008586	0.006068	-167.198847	0.108975
13.000000	800.000000	13.667000	-0.000000	1.553768	0.008905	0.005879	-90.947511	0.108971
14.000000	850.000000	13.697000	-0.000000	1.578401	0.008511	0.005420	-11.235522	0.108992
