No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout (V)
1.000000	660.000000	13.572000	-0.000000	1.680757	0.007925	0.005718	120.568716	0.108951
2.000000	665.000000	13.577000	-0.000000	1.673069	0.008493	0.005691	165.597159	0.108948
3.000000	670.000000	13.582000	-0.000000	1.661105	0.008284	0.005763	-150.992293	0.108955
4.000000	675.000000	13.588000	-0.000000	1.660735	0.008486	0.005817	-110.144796	0.108932
5.000000	680.000000	13.594000	-0.000000	1.658472	0.008201	0.005853	-60.930913	0.108960
6.000000	685.000000	13.599000	-0.000000	1.652272	0.009250	0.005830	-16.644302	0.108967
7.000000	690.000000	13.605000	-0.000000	1.649368	0.009114	0.005881	29.116350	0.108971
8.000000	695.000000	13.610000	-0.000000	1.645644	0.008371	0.005927	74.421735	0.108973
9.000000	700.000000	13.617000	-0.000000	1.648284	0.008588	0.005969	115.114492	0.108975
10.000000	705.000000	13.623000	-0.000000	1.649732	0.008452	0.006069	155.395362	0.108951
11.000000	710.000000	13.627000	-0.000000	1.646848	0.008395	0.006018	-157.973695	0.108944
12.000000	715.000000	13.633000	-0.000000	1.643956	0.008277	0.006047	-115.507480	0.108919
13.000000	720.000000	13.638000	-0.000000	1.639380	0.008973	0.006050	-66.559316	0.108928
14.000000	725.000000	13.645000	-0.000000	1.645861	0.008387	0.006170	-29.917483	0.108943
15.000000	730.000000	13.651000	-0.000000	1.644425	0.008622	0.006088	19.102807	0.108950
16.000000	735.000000	13.655000	-0.000000	1.647127	0.008383	0.006154	56.360237	0.108970
17.000000	740.000000	13.662000	-0.000000	1.645181	0.008324	0.006145	105.393411	0.108979
18.000000	745.000000	13.667000	-0.000000	1.648019	0.008418	0.006192	146.485471	0.108950
19.000000	750.000000	13.672000	-0.000000	1.642959	0.008770	0.006123	-163.339992	0.108950
20.000000	755.000000	13.678000	-0.000000	1.648497	0.008540	0.006125	-122.671555	0.108939
21.000000	760.000000	13.683000	-0.000000	1.639907	0.009273	0.006122	-77.573787	0.108964
22.000000	765.000000	13.689000	-0.000000	1.633781	0.008769	0.006083	-29.853048	0.108953
23.000000	770.000000	13.695000	-0.000000	1.632220	0.008475	0.006189	5.397118	0.108971
24.000000	775.000000	13.701000	-0.000000	1.634531	0.008018	0.006195	41.237265	0.108980
25.000000	780.000000	13.707000	-0.000000	1.628568	0.008788	0.006083	95.861565	0.108987
